customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,state
RB50392,Washington,F,Master,2300.691547,0.0,1000.0,1/0/00,Personal Auto,Four-Door Car,2.704934,California
QZ44356,Arizona,F,Bachelor,697953.59%,0.0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.464935,California
AI49188,Nevada,F,Bachelor,1288743.17%,48767.0,108.0,1/0/00,Personal Auto,Two-Door Car,566.472247,California
WW63253,California,M,Bachelor,764586.18%,0.0,106.0,1/0/00,Corporate Auto,SUV,529.881344,California
GA49547,Washington,M,High School or Below,536307.65%,36357.0,68.0,1/0/00,Personal Auto,Four-Door Car,17.269323,California
OC83172,Oregon,F,Bachelor,825629.78%,62902.0,69.0,1/0/00,Personal Auto,Two-Door Car,159.383042,California
XZ87318,Oregon,F,College,538089.86%,55350.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6,California
CF85061,Arizona,M,Master,721610.03%,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.02968,California
DY87989,Oregon,M,Bachelor,2412750.40%,14072.0,71.0,1/0/00,Corporate Auto,Four-Door Car,511.2,California
BQ94931,Oregon,F,College,738817.81%,28812.0,93.0,1/0/00,Special Auto,Four-Door Car,425.527834,California
SX51350,California,M,College,473899.20%,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4,California
VQ65197,California,F,College,819719.71%,0.0,110.0,1/0/00,Personal Auto,SUV,528.0,California
DP39365,California,F,Master,879879.70%,77026.0,110.0,1/2/00,Corporate Auto,Four-Door Car,472.029737,California
SJ95423,Arizona,F,High School or Below,881901.89%,99845.0,110.0,1/1/00,Corporate Auto,SUV,528.0,California
IL66569,California,F,College,538443.17%,83689.0,70.0,1/2/00,Corporate Auto,Four-Door Car,307.139132,California
BW63560,Oregon,F,Bachelor,746313.94%,24599.0,64.0,1/1/00,Corporate Auto,Four-Door Car,42.920271,California
FV94802,Nevada,F,High School or Below,256686.78%,25049.0,67.0,1/0/00,Personal Auto,Two-Door Car,454.245098,California
OE15005,Cali,F,College,394524.16%,28855.0,101.0,1/0/00,Personal Auto,SUV,647.442031,California
WC83389,Oregon,F,College,571033.31%,51148.0,72.0,1/0/00,Personal Auto,Four-Door Car,308.981664,California
FL50705,California,F,High School or Below,816261.71%,66140.0,101.0,1/0/00,Corporate Auto,Four-Door Car,484.8,California
ZK25313,Oregon,F,High School or Below,287205.13%,57749.0,74.0,1/0/00,Personal Auto,Two-Door Car,355.2,California
QK46697,Washington,M,Bachelors,617710.93%,61040.0,79.0,1/1/00,Personal Auto,Two-Door Car,20.382876,California
YH23384,Arizona,F,Bachelor,2412750.40%,14072.0,71.0,1/0/00,Personal Auto,Four-Door Car,511.2,California
TZ98966,Nevada,F,Bachelor,245019.10%,0.0,73.0,1/3/00,Corporate Auto,Four-Door Car,554.376763,California
HM55802,California,F,Bachelor,239210.79%,17870.0,61.0,1/0/00,Corporate Auto,Four-Door Car,439.2,California
FS42516,Oregon,F,College,580206.60%,97541.0,72.0,1/0/00,Personal Auto,Four-Door Car,389.185006,California
US89481,California,F,Bachelor,394637.21%,0.0,111.0,1/0/00,Personal Auto,Four-Door Car,799.2,California
HS14476,Washington,M,College,916206.32%,29723.0,80.0,1/0/00,Personal Auto,Four-Door Car,20.985105,California
GE62437,AZ,F,College,1290256.01%,86584.0,111.0,1/2/00,Personal Auto,Four-Door Car,532.8,California
EJ77678,Oregon,F,Master,323536.05%,75690.0,80.0,1/1/00,Personal Auto,Four-Door Car,384.0,California
SV85652,Arizona,F,College,245458.35%,23158.0,63.0,1/1/00,Personal Auto,Four-Door Car,322.294043,California
UL64533,Nevada,F,High School or Below,1897545.61%,65999.0,237.0,1/0/00,Corporate Auto,Luxury SUV,615.927769,California
PF41800,California,F,Bachelor,471532.13%,0.0,65.0,1/0/00,Personal Auto,Four-Door Car,308.15089,California
HD95276,Washington,F,College,473787.17%,0.0,130.0,1/0/00,Personal Auto,SUV,23.820158,California
SK67821,Oregon,F,Bachelor,493291.63%,37260.0,62.0,1/0/00,Corporate Auto,Four-Door Car,15.437681,California
YV55495,Arizona,F,High School or Below,574422.97%,68987.0,71.0,1/0/00,Personal Auto,Four-Door Car,204.475147,California
KY38074,California,F,Bachelor,1389173.57%,42305.0,117.0,1/0/00,Personal Auto,Four-Door Car,561.6,California
DM79012,Oregon,F,Master,738097.67%,65706.0,91.0,1/0/00,Personal Auto,Four-Door Car,436.8,California
CM61827,Oregon,F,Bachelor,309003.41%,0.0,90.0,1/0/00,Personal Auto,Two-Door Car,648.0,California
WC35801,Arizona,F,High School or Below,252163.31%,53243.0,66.0,1/2/00,Personal Auto,Four-Door Car,157.397849,California
QG25316,Nevada,F,High School or Below,265206.18%,0.0,70.0,1/1/00,Corporate Auto,Two-Door Car,484.318536,California
MB98372,Oregon,F,College,277104.50%,50071.0,71.0,1/0/00,Corporate Auto,Two-Door Car,18.918935,California
IL19217,California,F,Bachelor,393900.64%,60021.0,99.0,1/0/00,Personal Auto,Four-Door Car,882.871945,California
SR38658,Arizona,F,High School or Below,1223187.97%,43244.0,103.0,1/0/00,Personal Auto,Sports Car,494.4,California
YD87931,Washington,M,Doctor,495165.61%,46896.0,35354.0,1/1/00,Personal Auto,Four-Door Car,31.707317,California
HG65722,Oregon,F,Doctor,1281910.29%,10105.0,172.0,1/3/00,Personal Auto,SUV,0.517753,California
BU27331,Arizona,F,Bachelor,446851.05%,0.0,73.0,1/3/00,Personal Auto,Four-Door Car,579.165954,California
XM45289,Oregon,F,High School or Below,551434.40%,23218.0,71.0,1/0/00,Personal Auto,Two-Door Car,447.79344,California
KP34198,California,F,Bachelor,334387.53%,0.0,92.0,1/0/00,Corporate Auto,Four-Door Car,529.624084,California
SH90947,Arizona,F,High School or Below,229447.89%,0.0,62.0,1/0/00,Personal Auto,Four-Door Car,313.023175,California
WE95729,Oregon,F,College,3670742.64%,24804.0,104.0,1/0/00,Personal Auto,SUV,593.830288,California
PY51963,California,F,Bachelor,3347334.95%,33190.0,106.0,1/0/00,Corporate Auto,SUV,508.8,California
RB69909,Nevada,F,High School or Below,798343.17%,36014.0,69.0,1/3/00,Special Auto,Four-Door Car,173.956072,California
NW21079,Washington,F,Master,487938.48%,67163.0,61.0,1/2/00,Personal Auto,Two-Door Car,33.192803,California
FR46645,California,F,Bachelor,429399.73%,16701.0,113.0,1/0/00,Personal Auto,Four-Door Car,831.625979,California
SY17488,Arizona,F,College,716439.55%,46623.0,91.0,1/0/00,Corporate Auto,Four-Door Car,436.8,California
AP67935,California,F,College,761951.58%,64749.0,64.0,1/0/00,Special Auto,Four-Door Car,302.56519,California
FS37417,Arizona,F,High School or Below,395800.28%,0.0,101.0,1/0/00,Personal Auto,SUV,484.8,California
ML29312,Oregon,F,High School or Below,449949.33%,16969.0,124.0,1/2/00,Personal Auto,SUV,704.768111,California
UB61619,Oregon,F,Master,405956.74%,11621.0,108.0,1/0/00,Personal Auto,Four-Door Car,518.4,California
CD86811,Arizona,F,Bachelor,445811.34%,17622.0,65.0,1/1/00,Personal Auto,Four-Door Car,312.0,California
